id,search_term,source,repository.name,repository.full_name,repository.html_url,repository.description
1,EMA,GitHub API,pytorch-diffusion,quickgrid/pytorch-diffusion,https://github.com/quickgrid/pytorch-diffusion,Implementation of diffusion models in pytorch for custom training.
2,EMA,GitHub API,dema-rs,sabinchitrakar/dema-rs,https://github.com/sabinchitrakar/dema-rs,Double Exponential Moving Average (DEMA) implementation in Rust
3,EMA,GitHub API,SMP2021-ECISA,myeclipse/SMP2021-ECISA,https://github.com/myeclipse/SMP2021-ECISA,SMP2021-ECISA 中文隐式情感分析评测第4名解决方案
4,EMA,GitHub API,Forex-Expert-Advisor,juliach98/Forex-Expert-Advisor,https://github.com/juliach98/Forex-Expert-Advisor,Forex Expert Advisor for automation of analytical and trading processes based on strategy EMA (4+13+50) + Stochastic.
5,EMA,GitHub API,ema,romulodl/ema,https://github.com/romulodl/ema,EMA (Exponential Moving Average) in php
6,EMA,GitHub API,tradingview-pinescript-4-ma-lines-indicator,nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,https://github.com/nguyentamgm/tradingview-pinescript-4-ma-lines-indicator,The base lines for forex trading in Pine Script
7,EMA,GitHub API,ema-rs,sabinchitrakar/ema-rs,https://github.com/sabinchitrakar/ema-rs,Exponential Moving Average (EMA) implementation in Rust
8,EMA,GitHub API,EMA_system,ZS-Yang-TW/EMA_system,https://github.com/ZS-Yang-TW/EMA_system,
9,EMA,GitHub API,t3p-server,emanuelturtula/t3p-server,https://github.com/emanuelturtula/t3p-server,
10,EMA,GitHub API,vdvae,openai/vdvae,https://github.com/openai/vdvae,"Repository for the paper ""Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images"""
11,EMA,GitHub API,PivotOnEMA,TechRancher/PivotOnEMA,https://github.com/TechRancher/PivotOnEMA,Pivot On EMA is a Strategy I came up with to be used with ThinkorSwim:registered: platform. This Strategy uses 3 EMA and my Pivot RSI to give the user a buy long signal and or sell short signal.
12,EMA,GitHub API,s-ema-john-simple-main-updated,AMIN-SUAAD/s-ema-john-simple-main-updated,https://github.com/AMIN-SUAAD/s-ema-john-simple-main-updated,Live link: https://fir-ema-john-simple-main-57df3.web.app/
13,EMA,GitHub API,ema-js-parser,music-addressability/ema-js-parser,https://github.com/music-addressability/ema-js-parser,A generic parser in Typescript/JavaScript for Enhancing Music Notation Addressability (EMA) expressions
14,EMA,GitHub API,sma,patharanordev/sma,https://github.com/patharanordev/sma,Calculate Simple Moving Average(SMA) to support client/server site
15,EMA,GitHub API,EMA,Hazelsuko07/EMA,https://github.com/Hazelsuko07/EMA,
